meal,rep,day,egg_weight,egg_num,hatched,unhatched,total,hatch_rate,hatched_num
CF,1,1,0,0,0,0,0,0,0
CF,2,1,0,0,0,0,0,0,0
CF,3,1,0,0,0,0,0,0,0
CF,1,2,0,0,0,0,0,0,0
CF,2,2,0,0,0,0,0,0,0
CF,3,2,0,0,0,0,0,0,0
CF,1,3,0.1941,7603.118023,113,266,379,0.298153034,2266.892709
CF,2,3,0.2934,11492.8121,149,260,409,0.364303178,4186.867976
CF,3,3,0.3482,13639.3905,202,302,504,0.400793651,5466.581112
CF,1,4,0.6943,27196.5216,214,416,630,0.33968254,9238.183529
CF,2,4,0.9047,35438.12919,218,313,531,0.410546139,14548.98712
CF,3,4,2.0616,80755.21955,340,112,452,0.752212389,60745.07666
CF,1,5,1.2331,48301.93114,320,90,410,0.780487805,37699.0682
CF,2,5,1.2724,49841.35689,240,133,373,0.643431635,32069.50577
CF,3,5,2.3719,92910.02389,280,154,434,0.64516129,59941.9509
CF,1,6,2.4829,97258.02029,244,133,377,0.647214854,62946.83541
CF,2,6,2.5801,101065.455,246,180,426,0.577464789,58361.7416
CF,3,6,3.0759,120486.5055,243,178,421,0.57719715,69544.46757
CF,1,7,1.7073,66876.88511,134,213,347,0.386167147,25825.65592
CF,2,7,1.8081,70825.33589,276,70,346,0.797687861,56496.51071
CF,3,7,1.8876,73939.44142,287,55,342,0.839181287,62048.59558
CF,1,8,1.1615,45497.27761,301,51,352,0.855113636,38905.3425
CF,2,8,1.1788,46174.93831,264,67,331,0.797583082,36828.34959
CF,3,8,1.1257,44094.95084,237,100,337,0.703264095,31010.39569
CF,1,9,0.719,28164.04873,218,67,285,0.764912281,21543.02675
CF,2,9,0.8125,31826.5502,252,49,301,0.837209302,26645.48389
CF,3,9,0.6168,24160.75835,214,26,240,0.891666667,21543.34286
CF,1,11,0.1248,4888.55811,218,67,285,0.764912281,3739.318134
CF,2,11,0.3481,13635.47338,268,171,439,0.61047836,8324.161428
CF,3,11,0.1976,7740.217008,205,49,254,0.807086614,6247.025538
CF,1,12,0.4286,16788.75005,240,80,320,0.75,12591.56254
CF,2,12,0.1656,6486.74057,142,5,147,0.965986395,6266.103135
CF,3,12,0.1407,5511.379216,181,72,253,0.71541502,3942.923471
CF,1,13,0.1538,6024.521133,345,83,428,0.806074766,4856.214465
CF,2,13,0.0669,2620.549179,267,32,299,0.892976589,2340.089067
CF,3,13,0.1329,5205.844334,354,250,604,0.586092715,3051.107441
CF,1,14,0.1447,5668.063771,234,35,269,0.869888476,4930.583354
CF,2,14,0.1044,4089.466881,53,291,344,0.154069767,630.0632113
CF,3,14,0.0204,799.0912296,0,0,0,0,0
CF,1,15,0.06488,2541.423479,132,34,166,0.795180723,2020.890959
CF,2,15,0.1828,7160.484155,143,25,168,0.851190476,6094.935918
CF,3,15,0.0407,1594.265345,126,6,132,0.954545455,1521.798739
CF,1,16,0.2386,9346.233695,216,32,248,0.870967742,8140.268057
CF,2,16,0.0727,2847.741784,182,62,244,0.745901639,2124.135265
CF,3,16,0.0528,2068.236124,72,112,184,0.391304348,809.3097875
CF,1,17,0,0,0,0,0,0,0
CF,2,17,0.0126,493.5563477,88,124,212,0.41509434,204.8724462
CF,3,17,0.0324,1269.144894,95,97,192,0.494791667,627.9623174
FW,1,1,0.0192,752.0858631,245,53,298,0.822147651,618.3256257
FW,2,1,0,0,0,0,0,0,0
FW,3,1,0,0,0,0,0,0,0
FW,1,2,0.6846,26816.56156,256,20,276,0.927536232,24873.33246
FW,2,2,0.2201,8621.567629,112,266,378,0.296296296,2554.538557
FW,3,2,0.5253,20576.59916,0,0,0,0,0
FW,1,3,1.0055,39386.57997,219,259,478,0.458158996,18045.31593
FW,2,3,0.4462,17478.16209,240,321,561,0.427807487,7477.288595
FW,3,3,0.7663,30016.84359,234,282,516,0.453488372,13612.28953
FW,1,4,1.3123,51404.28532,234,235,469,0.498933902,25647.34065
FW,2,4,1.116,43714.99079,227,241,468,0.485042735,21203.6387
FW,3,4,2.0652,80896.23565,264,214,478,0.552301255,44679.09249
FW,1,5,2.1733,85130.63575,325,26,351,0.925925926,78824.66273
FW,2,5,2.1999,86172.58804,258,62,320,0.80625,69476.6491
